joke_index,joke_text,nonzero_feature_count,nonzero_features,kl_divergence
0,"[me narrating a documentary about narrators] ""I can't hear what they're saying cuz I'm talking""",0,[],
1,"Telling my daughter garlic is good for you. Good immune system and keeps pests away.Ticks, mosquitos, vampires... men.",0,[],
2,I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper.,0,[],
3,"If I could have dinner with anyone, dead or alive... ...I would choose alive. -B.J. Novak-",0,[],
4,Two guys walk into a bar. The third guy ducks.,0,[],
5,Why can't Barbie get pregnant? Because Ken comes in a different box. Heyooooooo,0,[],
6,Why was the musician arrested? He got in treble.,0,[],
7,Did you hear about the guy who blew his entire lottery winnings on a limousine? He had nothing left to chauffeur it.,0,[],
8,What do you do if a bird shits on your car? Don't ask her out again.,0,[],
9,He was a real gentlemen and always opened the fridge door for me,0,[],
10,"Telling my daugthers date that ""she has lice and its very contagious the closer you get to her."" *Correct way to parent.",0,[],
11,What should you do before criticizing Pac-Man? WAKA WAKA WAKA mile in his shoes,0,[],
12,What's the difference between an illegal Mexican and an autonomous robot...? Nothing... they were both made to steal American jobs.,0,[],
13,What do you call a barbarian you can't see? an Invisigoth.,0,[],
14,"How do you spell Canda? C,eh,N,eh,D,eh",0,[],
15,You ever notice that the most dangerous thing about marijuana is getting caught with it?,0,[],
16,"What did Arnold Schwarzenegger say at the abortion clinic? Hasta last vista, baby.",0,[],
17,"My wife is in a bad mood. I think her boyfriend forgot their anniversary. Way to go, dude. Now we all suffer...",0,[],
18,My speech today will be like a mini-skirt. Long enough to cover the essentials but short enough to hold your attention!,0,[],
19,Thanksgiving joke What does Miley Cyrus eat for Thanksgiving? Twerky! Just kidding... Drugs. She eats drugs. -Adam Zopf @adamzopf,0,[],
