joke_index,joke_text,nonzero_feature_count,nonzero_features,kl_divergence
0,"[me narrating a documentary about narrators] ""I can't hear what they're saying cuz I'm talking""",0,[],
1,"Telling my daughter garlic is good for you. Good immune system and keeps pests away.Ticks, mosquitos, vampires... men.",0,[],
2,I've been going through a really rough period at work this week It's my own fault for swapping my tampax for sand paper.,0,[],
3,"If I could have dinner with anyone, dead or alive... ...I would choose alive. -B.J. Novak-",0,[],
4,Two guys walk into a bar. The third guy ducks.,0,[],
5,Why can't Barbie get pregnant? Because Ken comes in a different box. Heyooooooo,0,[],
6,Why was the musician arrested? He got in treble.,0,[],
7,Did you hear about the guy who blew his entire lottery winnings on a limousine? He had nothing left to chauffeur it.,0,[],
8,What do you do if a bird shits on your car? Don't ask her out again.,0,[],
9,He was a real gentlemen and always opened the fridge door for me,0,[],
10,"Telling my daugthers date that ""she has lice and its very contagious the closer you get to her."" *Correct way to parent.",0,[],
11,What should you do before criticizing Pac-Man? WAKA WAKA WAKA mile in his shoes,0,[],
12,What's the difference between an illegal Mexican and an autonomous robot...? Nothing... they were both made to steal American jobs.,0,[],
13,What do you call a barbarian you can't see? an Invisigoth.,0,[],
14,"How do you spell Canda? C,eh,N,eh,D,eh",0,[],
15,You ever notice that the most dangerous thing about marijuana is getting caught with it?,0,[],
16,"What did Arnold Schwarzenegger say at the abortion clinic? Hasta last vista, baby.",0,[],
17,"My wife is in a bad mood. I think her boyfriend forgot their anniversary. Way to go, dude. Now we all suffer...",0,[],
18,My speech today will be like a mini-skirt. Long enough to cover the essentials but short enough to hold your attention!,0,[],
19,Thanksgiving joke What does Miley Cyrus eat for Thanksgiving? Twerky! Just kidding... Drugs. She eats drugs. -Adam Zopf @adamzopf,0,[],
20,Why do you never see elephants hiding in trees? 'Cause they are freaking good at it,0,[],
21,How did the blonde die raking leaves? She fell out of the tree.,0,[],
22,"""That guy is such a douche-bag! Is he single? Maybe I can fix him!""  women",0,[],
23,"My son just got a tattoo of a heart, a spade, a club, and a diamond, all without my permission. I guess I'll deal with him later.",0,[],
24,What do you call a potato in space? Spudnik,0,[],
25,How to get a cop's attention,0,[],
26,What happens to a necrophiliac after death? Reserection,0,[],
27,Why did the chicken hold a seance? To get to the other side.,0,[],
28,Where do baby cows go to eat lunch? At the calf-eteria.,0,[],
29,What's the difference between a painting and Jesus. You only require one nail to put up the painting.,0,[],
30,"Mom: ""Do you want this?"" Me: ""No."" Mom: ""Ok I'll give it to your brother."" Me: ""No I want it.""",0,[],
31,How do you fit 4 gays on one barstool? Flip it over!,0,[],
32,I am looking forward to 6pm Thanksgiving Day when Walmart opens its doors for its annual sale of trampled human corpses.,0,[],
33,"Yttrium-barium-copper oxide walks into a bar The bartender tells him, ""We don't serve superconductors here."" He leaves without resistance.",0,[],
34,A guy pick up a woman Then he puts her down,0,[],
35,"Every night, I take all of the singles out of my wallet, spread them on the bed, and pretend I was pretty that day.",0,[],
36,Which gospel contains Jesus' parable about the shades of numbers? Math hue.,0,[],
37,Ibuprofen is my favorite headache medicine that also sounds like a reggae professor.,0,[],
38,Ted Cruz getting elected.,0,[],
39,Before I destroy a wasp's nest I like to capture a single wasp and tell it my entire diabolical plan.,0,[],
