feature_index,occurrence_count,occurrence_percentage,globally_interesting
20512,500,100.0,False
68738,448,89.60000000000001,False
18444,448,89.60000000000001,False
50055,448,89.60000000000001,False
37896,448,89.60000000000001,False
19274,428,85.6,False
13469,423,84.6,False
21330,422,84.39999999999999,False
9550,422,84.39999999999999,False
798,422,84.39999999999999,False
5499,421,84.2,False
8508,421,84.2,False
2135,421,84.2,True
34303,421,84.2,False
60470,421,84.2,False
39622,421,84.2,False
69903,418,83.6,False
3732,416,83.2,False
67215,415,83.0,False
13478,401,80.2,False
64877,399,79.80000000000001,False
33938,393,78.60000000000001,True
23584,386,77.2,False
41403,363,72.6,False
61695,349,69.8,False
8816,341,68.2,False
30187,316,63.2,False
56694,284,56.8,False
48780,252,50.4,False
26395,252,50.4,False
49922,249,49.8,False
10706,246,49.2,False
23256,222,44.4,False
26867,214,42.8,False
4657,188,37.6,False
5423,160,32.0,False
23357,145,28.999999999999996,False
15130,142,28.4,False
69922,141,28.199999999999996,False
46260,100,20.0,False
70748,95,19.0,False
23592,83,16.6,False
64507,79,15.8,False
65663,77,15.4,False
46900,77,15.4,False
21913,75,15.0,False
58546,74,14.799999999999999,False
36059,73,14.6,False
24596,73,14.6,False
33914,70,14.000000000000002,False
58507,68,13.600000000000001,False
64565,61,12.2,False
9148,61,12.2,False
43198,60,12.0,False
27510,60,12.0,False
39116,60,12.0,False
17412,57,11.4,False
8907,55,11.0,False
56405,54,10.8,False
66263,54,10.8,False
3783,53,10.6,False
17956,53,10.6,False
51230,53,10.6,False
7642,53,10.6,False
21633,53,10.6,False
4095,53,10.6,False
13407,53,10.6,False
3639,53,10.6,True
1491,53,10.6,False
56058,52,10.4,False
56034,52,10.4,False
34758,52,10.4,False
34583,52,10.4,False
55573,52,10.4,False
35145,52,10.4,False
34972,52,10.4,False
55625,52,10.4,False
34911,52,10.4,False
34906,52,10.4,False
34898,52,10.4,False
34852,52,10.4,False
26523,52,10.4,False
55003,52,10.4,False
35320,52,10.4,False
35262,52,10.4,False
35209,52,10.4,False
55924,52,10.4,False
55879,52,10.4,False
55794,52,10.4,False
56893,52,10.4,False
56351,52,10.4,False
56264,52,10.4,False
56138,52,10.4,False
34435,52,10.4,False
55779,52,10.4,False
55771,52,10.4,False
55696,52,10.4,False
55650,52,10.4,False
56358,52,10.4,False
33397,52,10.4,False
33395,52,10.4,False
33389,52,10.4,False
33339,52,10.4,False
33242,52,10.4,False
33240,52,10.4,False
33846,52,10.4,False
32760,52,10.4,False
34208,52,10.4,False
32750,52,10.4,False
32706,52,10.4,False
33186,52,10.4,False
33169,52,10.4,False
33054,52,10.4,False
33016,52,10.4,False
56854,52,10.4,False
56830,52,10.4,False
32756,52,10.4,False
34405,52,10.4,False
26536,52,10.4,False
55017,52,10.4,False
34107,52,10.4,False
34089,52,10.4,False
34851,52,10.4,False
34837,52,10.4,False
34826,52,10.4,False
32913,52,10.4,False
33589,52,10.4,False
26342,52,10.4,False
33503,52,10.4,False
33406,52,10.4,False
31389,52,10.4,False
31273,52,10.4,False
31153,52,10.4,False
31945,52,10.4,False
33790,52,10.4,False
54714,52,10.4,False
54699,52,10.4,False
